Patient Id,Message Id
14844,7426
15150,7400
15150,7398
15150,7397
15150,7399
15151,7400
15151,7398
15152,7398
15152,7400
15152,7397
15152,7399
15153,7400
15153,7398
15155,7400
15155,7398
15156,7400
15156,7398
15158,7398
15158,7400
15158,7397
15158,7399
15161,7398
15161,7400
15162,7398
15162,7400
15162,7399
15162,7397
15163,7398
15163,7400
15163,7397
15163,7399
15164,7398
15164,7400
15164,7397
15164,7399
15148,7404
15151,7404
15150,7404
15153,7404
15152,7404
15156,7404
15155,7404
15158,7404
15171,7398
15171,7400
15163,7404
15162,7404
15161,7404
15171,7397
15171,7399
15164,7404
15166,7404
15169,7404
15171,7404
15172,7404
15173,7404
15175,7404
15176,7404
15177,7404
15178,7404
15155,7420
15155,7421
14738,7452
14723,7453
14738,7453
14723,7452
14738,7450
14738,7446
14723,7446
14723,7450
14738,7448
14723,7448
14772,7406
14772,7410
15155,7424
15155,7428
14772,7408
15155,7426
14738,7461
14738,7460
14723,7461
14723,7460
14723,7457
14738,7456
14738,7457
14723,7456
15580,7453
15580,7452
14848,7394
15564,7400
15563,7400
15564,7398
15563,7398
15566,7398
15566,7400
15566,7397
15566,7399
15569,7400
15569,7398
15570,7400
15570,7398
15569,7399
15569,7397
15571,7398
15571,7400
15572,7400
15572,7398
15572,7399
15572,7397
15171,7390
15172,7394
15558,7404
15172,7393
15171,7389
15564,7404
15563,7404
15566,7404
15569,7404
15570,7404
15572,7404
15571,7404
15573,7404
15574,7404
15585,7398
15585,7400
15585,7397
15585,7399
15586,7400
15586,7398
15586,7399
15586,7397
15575,7404
15589,7398
15589,7400
15576,7404
15589,7399
15589,7397
15591,7398
15591,7400
15591,7397
15591,7399
15596,7398
15597,7398
15596,7400
15597,7400
15597,7399
15596,7397
15580,7404
15597,7397
15596,7399
15599,7398
15599,7400
15600,7400
15600,7398
15581,7404
15601,7398
15601,7400
15600,7397
15600,7399
15601,7397
15601,7399
15602,7398
15602,7400
15602,7397
15602,7399
